urn:lsid:ipni.org:names:77126800-1	urn:kew.org:sanbi:LSP:tab1fam:ref:296	Welman: 31 (2000).	Welman	2000
urn:lsid:ipni.org:names:30005322-2	urn:kew.org:sanbi:LSP:tab1fam:ref:298	Friedrich-Holzhammer, Merxmüller & Roessler: 1 (1969). (See note on family circumscription under Malvaceae.)	Friedrich-Holzhammer, Merxmüller & Roessler	1969
urn:lsid:ipni.org:names:77126683-1	urn:kew.org:sanbi:LSP:tab1fam:ref:300	Rourke: 9 (2000).	Rourke	2000
urn:lsid:ipni.org:names:77126592-1	urn:kew.org:sanbi:LSP:tab1fam:ref:304	Van Wyk & Van Wyk: 68 (1997).	Van Wyk & Van Wyk	1997
urn:lsid:ipni.org:names:50000375-1	urn:kew.org:sanbi:LSP:tab1fam:ref:306	Hilliard & Burtt: 182 (1987).	Hilliard & Burtt	1987
urn:lsid:ipni.org:names:30001693-2	urn:kew.org:sanbi:LSP:tab1fam:ref:308	Wild: 1 (1984).	Wild	1984
urn:lsid:ipni.org:names:50039464-1	urn:kew.org:sanbi:LSP:tab1fam:ref:310	Verdcourt: 11 (1998).	Verdcourt	1998
urn:lsid:ipni.org:names:30001815-2	urn:kew.org:sanbi:LSP:tab1fam:ref:312	Obermeyer: 93 (1976).	Obermeyer	1976
urn:lsid:ipni.org:names:77126716-1	urn:kew.org:sanbi:LSP:tab1fam:ref:314	Zavada & Kim: 13 (1996).	Zavada & Kim	1996
urn:lsid:ipni.org:names:30000535-2	urn:kew.org:sanbi:LSP:tab1fam:ref:316	Friis: 612 (1993).	Friis	1993
urn:lsid:ipni.org:names:30000720-2	urn:kew.org:sanbi:LSP:tab1fam:ref:320	Cannon: 75 (1983).	Cannon	1983
urn:lsid:ipni.org:names:30000070-2	urn:kew.org:sanbi:LSP:tab1fam:ref:322	Zomlefer: 262 (1994).	Zomlefer	1994
urn:lsid:ipni.org:names:30000541-2	urn:kew.org:sanbi:LSP:tab1fam:ref:324	Obermeyer: 42 (1976).	Obermeyer	1976
urn:lsid:ipni.org:names:50025097-1	urn:kew.org:sanbi:LSP:tab1fam:ref:326	Polhill & Wiens: 275 (1998).	Polhill & Wiens	1998
urn:lsid:ipni.org:names:30000067-2	urn:kew.org:sanbi:LSP:tab1fam:ref:328	Verdcourt: 1 (1993).	Verdcourt	1993
urn:lsid:ipni.org:names:30000513-2	urn:kew.org:sanbi:LSP:tab1fam:ref:330	Hadidi: 1 (1985).	Hadidi	1985
urn:lsid:ipni.org:names:77126753-1	urn:kew.org:sanbi:LSP:tab1fam:ref:332	Mayo et al.: 289 (1997).	Mayo et al.	1997
urn:lsid:ipni.org:names:60460305-2	urn:kew.org:sanbi:LSP:tab1fam:ref:334	Fay & Chase: 449 (1996).	Fay & Chase	1996
urn:lsid:ipni.org:names:30000166-2	urn:kew.org:sanbi:LSP:tab1fam:ref:336	Ojeda Revah & Ludlow-Wiechers: 25 (1995).	Ojeda Revah & Ludlow-Wiechers	1995
urn:lsid:ipni.org:names:77126755-1	urn:kew.org:sanbi:LSP:tab1fam:ref:338	Cook: 25 (1990).	Cook	1990
urn:lsid:ipni.org:names:30002595-2	urn:kew.org:sanbi:LSP:tab1fam:ref:340	Liliaceae in part, Dyer: 915 (1976). Dahlgren et al.: 193 (1985).	Liliaceae in part, Dyer	1976
